"user_id","gender","age_group","married","has_children","home_country","home_city","sign_up_date","num_sessions","avg_session_duration_minute","avg_page_clicks","total_trips","conversion_rate","weekend_trip_proportion","cancellation_proportion","avg_booking_departure_gap_days_flights","avg_booking_departure_gap_days_hotels","round_trips_proportion","avg_flight_price_usd","avg_flight_discount_amount","discounted_flight_proportion","avg_flight_seats","avg_checked_bags","avg_distance_flown","total_hotels_booked","avg_hotel_price_usd","avg_hotel_discount_amount","discounted_hotel_proportion","avg_hotel_rooms","avg_hotel_stay_duration_day","assigned_group","assigned_perk"
"167852","F","18-24","false","false","usa","tampa","2022-05-03","13","0.85","10.69","0","0.00","0.00","","","","0.00","","0.10","0.23","","","","0","","0.10","0.31","","","Budget Travellers","Exclusive discounts"
"375729","F","45-54","false","false","usa","atlanta","2022-10-23","12","1.50","15.92","5","0.42","0.00","0.00","6.42","6.54","1.00","271.24","0.11","0.42","1.00","0.40","1485","4","759.75","0.08","0.17","1.00","3.25","Budget Travellers","Exclusive discounts"
"437069","F","35-44","false","false","usa","tucson","2022-11-28","10","2.70","25.90","7","0.70","0.00","0.00","7.06","7.22","1.00","296.90","0.18","0.20","1.14","0.43","1581","7","629.00","0.13","0.20","1.14","3.43","Family-Oriented Travelers","Free checked bag"
"471161","F","35-44","false","false","usa","houston","2022-12-15","9","1.67","18.00","3","0.33","0.00","0.00","6.75","6.94","1.00","458.43","0.10","0.11","1.33","1.00","2105","3","636.67","0.20","0.22","1.33","3.33","Family-Oriented Travelers","Free checked bag"
"472394","F","35-44","false","false","usa","tucson","2022-12-16","10","1.40","14.70","3","0.30","0.00","0.00","7.28","8.16","1.00","414.33","0.20","0.20","1.50","0.50","1854","3","1627.33","","0.00","1.33","4.00","Family-Oriented Travelers","Free checked bag"
"485891","F","25-34","false","true","usa","knoxville","2022-12-23","9","4.11","36.22","3","0.33","0.00","0.33","5.81","3.10","0.67","400.54","","0.11","1.00","0.50","2284","2","6609.33","0.10","0.22","1.67","8.33","Family-Oriented Travelers","Free checked bag"
"488865","F","35-44","false","false","canada","hamilton","2022-12-24","10","1.10","13.00","4","0.40","0.00","0.00","11.45","11.61","1.00","306.66","0.05","0.10","1.00","1.00","1564","4","742.00","0.10","0.10","1.00","3.50","Frequent Travellers","1 night free hotel with flight"
"490576","M","55-64","true","false","usa","san jose","2022-12-25","9","0.78","10.56","3","0.33","0.00","0.00","7.15","5.21","0.67","479.36","0.13","0.22","1.00","1.00","3164","2","323.50","0.15","0.22","1.00","2.00","Moderate Travellers","Priority boarding"
"494484","F","18-24","false","false","usa","amarillo","2022-12-27","10","1.90","18.60","3","0.30","0.00","0.00","6.40","17.74","1.00","998.62","0.10","0.30","2.00","1.00","2608","3","1840.00","0.10","0.20","1.33","7.33","Family-Oriented Travelers","Free checked bag"
"504473","F","25-34","false","false","usa","richmond","2023-01-01","9","1.11","12.44","2","0.22","0.00","0.00","8.74","8.90","1.00","266.50","0.10","0.11","1.00","1.00","1476","2","199.00","0.05","0.11","1.00","1.50","Moderate Travellers","Priority boarding"
"509516","F","45-54","false","false","usa","colorado springs","2023-01-04","9","1.56","16.33","3","0.33","0.00","0.00","7.78","8.00","1.00","610.26","0.10","0.11","1.50","1.00","1917","3","291.33","0.13","0.22","1.33","1.33","Moderate Travellers","Priority boarding"
"511577","F","35-44","true","false","usa","fresno","2023-01-05","8","0.63","9.88","2","0.25","0.00","0.00","5.10","6.13","1.00","547.46","0.10","0.38","1.00","0.00","3308","1","0.00","0.15","0.13","1.00","0.00","Budget Travellers","Exclusive discounts"
"512028","F","35-44","false","false","usa","new york","2023-01-05","8","1.63","17.00","2","0.25","0.00","0.00","7.23","7.43","1.00","382.15","0.10","0.50","1.00","0.50","2416","2","29.50","0.10","0.25","1.00","0.50","Budget Travellers","Exclusive discounts"
"512495","F","35-44","false","false","usa","louisville","2023-01-05","8","1.50","14.88","6","0.75","0.00","0.00","7.03","8.59","1.00","176.40","0.15","0.25","1.25","0.50","895","6","1002.67","","0.00","1.17","6.33","Family-Oriented Travelers","Free checked bag"
"512848","F","35-44","false","false","usa","houston","2023-01-06","8","1.50","16.00","3","0.38","0.00","0.00","4.70","4.65","1.00","261.09","0.05","0.13","1.00","0.00","1357","3","204.00","0.10","0.13","1.00","2.00","Spontaneous Travelers","No cancellation fees"
"513058","F","45-54","false","true","usa","new york","2023-01-06","8","3.13","28.88","6","0.75","0.00","0.00","7.06","14.12","1.00","385.26","","0.00","1.20","0.40","1934","3","595.67","0.08","0.25","1.33","3.67","Family-Oriented Travelers","Free checked bag"
"513495","F","25-34","false","false","usa","san diego","2023-01-06","8","1.25","13.88","2","0.25","0.00","0.00","4.78","7.41","1.00","344.89","0.13","0.25","1.00","1.00","1847","2","3068.00","0.10","0.13","1.00","8.50","High-Spending Travelers","Free hotel meal"
"514053","F","35-44","true","true","canada","victoria","2023-01-06","8","0.50","7.75","2","0.25","0.00","0.00","6.48","8.16","1.00","339.66","0.13","0.25","1.00","0.00","1676","2","1382.50","0.10","0.25","1.00","8.50","High-Spending Travelers","Free hotel meal"
"514342","F","35-44","false","false","usa","baltimore","2023-01-06","8","1.38","15.13","4","0.50","0.00","0.00","8.78","10.34","1.00","390.38","0.10","0.13","1.50","1.00","1914","2","3005.00","0.13","0.25","2.00","4.00","Family-Oriented Travelers","Free checked bag"
"516076","F","65+","true","false","usa","riverside","2023-01-07","8","0.75","10.00","0","0.00","0.00","","","","0.00","","0.20","0.25","","","","0","","0.10","0.13","","","Occasional Travellers","Loyalty points"
"516301","F","25-34","false","false","usa","los angeles","2023-01-07","8","7.13","28.63","5","0.63","0.00","0.20","77.43","8.82","1.00","1769.60","0.40","0.25","1.67","0.83","6125","5","254.75","","0.13","1.50","1.75","High-Spending Travelers","Free hotel meal"
"520680","F","35-44","true","false","usa","winston-salem","2023-01-09","8","1.13","12.50","2","0.25","0.00","0.00","8.38","8.56","1.00","315.91","0.20","0.25","1.00","0.00","1834","2","470.00","","0.00","1.00","2.00","Moderate Travellers","Priority boarding"
"521187","F","65+","true","false","usa","orlando","2023-01-10","9","1.33","14.44","0","0.00","0.00","","","","0.00","","0.20","0.11","","","","0","","","0.00","","","Occasional Travellers","Loyalty points"
"523338","F","35-44","true","true","usa","new york","2023-01-11","9","2.33","22.22","4","0.44","0.00","0.00","8.12","8.25","1.00","148.14","0.15","0.22","1.00","1.00","808","4","1402.25","0.13","0.22","1.00","2.75","High-Spending Travelers","Free hotel meal"
"526372","F","45-54","false","true","usa","colorado springs","2023-01-12","8","1.38","15.75","2","0.25","0.00","0.00","11.37","11.58","1.00","338.90","","0.00","1.00","0.50","2291","2","439.00","0.10","0.13","1.00","6.50","Moderate Travellers","Priority boarding"
"526916","F","55-64","true","false","usa","omaha","2023-01-12","8","1.00","12.00","0","0.00","0.00","","","","0.00","","","0.00","","","","0","","0.05","0.13","","","Occasional Travellers","Loyalty points"
"527158","F","45-54","true","false","canada","victoria","2023-01-13","8","7.63","21.75","3","0.38","0.00","0.33","87.68","88.07","1.00","1843.55","0.15","0.25","2.00","1.00","9435","3","1524.25","","0.13","1.50","5.00","Family-Oriented Travelers","Free checked bag"
"527321","F","18-24","false","false","canada","halifax","2023-01-13","8","1.13","11.50","1","0.13","0.00","0.00","","8.62","0.00","","0.13","0.25","","","","1","340.00","0.10","0.25","1.00","5.00","Moderate Travellers","Priority boarding"
"529704","F","65+","true","false","usa","dallas","2023-01-14","9","1.22","35.89","2","0.22","0.00","0.50","165.97","1.76","1.00","2036.28","","0.11","1.00","0.00","21701","2","1530.00","0.13","0.33","1.00","6.00","High-Spending Travelers","Free hotel meal"
"530720","F","35-44","true","false","canada","london","2023-01-14","8","6.00","20.50","4","0.50","0.00","0.25","55.05","9.33","1.00","1204.26","0.15","0.25","1.40","0.80","3750","3","614.00","0.08","0.38","1.00","2.00","Budget Travellers","Exclusive discounts"
"531456","F","18-24","false","false","canada","vancouver","2023-01-15","8","0.38","7.25","2","0.25","0.00","0.00","","14.08","0.00","","0.13","0.38","","","","2","464.00","","0.00","2.00","2.50","Budget Travellers","Exclusive discounts"
"534688","F","35-44","false","true","usa","louisville","2023-01-16","8","1.50","15.88","5","0.63","0.00","0.00","6.48","6.68","1.00","170.69","0.25","0.25","1.25","1.00","937","5","756.40","0.10","0.25","1.20","3.60","Family-Oriented Travelers","Free checked bag"
"538270","F","25-34","false","false","usa","fort worth","2023-01-18","9","0.89","12.00","2","0.22","0.00","0.00","12.86","13.01","1.00","222.42","","0.00","1.00","0.50","1191","2","144.50","0.10","0.22","1.00","1.00","Moderate Travellers","Priority boarding"
"538350","F","35-44","false","true","usa","lincoln","2023-01-18","8","2.38","38.75","2","0.25","0.00","0.50","3.82","3.97","1.00","240.45","0.13","0.50","1.00","0.00","1285","2","454.00","","0.13","1.00","3.00","Budget Travellers","Exclusive discounts"
"539338","F","35-44","false","false","usa","new york","2023-01-19","8","1.50","15.88","3","0.38","0.00","0.00","7.50","7.00","1.00","492.54","0.20","0.13","1.00","0.33","2719","2","343.50","0.05","0.13","1.00","2.50","Moderate Travellers","Priority boarding"
"539953","M","35-44","true","true","usa","new york","2023-01-19","8","1.13","12.88","2","0.25","0.00","0.00","8.11","8.28","1.00","296.70","0.13","0.50","1.00","0.00","1617","2","460.00","0.15","0.13","1.00","2.50","Budget Travellers","Exclusive discounts"
"545089","F","18-24","false","false","usa","louisville","2023-01-22","8","1.25","21.00","1","0.13","0.00","1.00","213.38","214.14","0.00","1141.98","","0.13","1.00","0.00","17523","1","612.00","0.15","0.25","1.00","9.00","Occasional Travellers","Loyalty points"
"546509","F","45-54","false","false","usa","detroit","2023-01-22","8","1.50","14.75","3","0.38","0.00","0.00","7.49","7.67","1.00","345.01","0.10","0.38","1.00","0.33","2013","3","295.33","0.10","0.25","1.00","2.00","Budget Travellers","Exclusive discounts"
"546937","F","65+","false","false","usa","chicago","2023-01-23","8","0.88","10.25","0","0.00","0.00","","","","0.00","","0.05","0.25","","","","0","","0.08","0.25","","","Occasional Travellers","Loyalty points"
"547776","F","35-44","false","false","usa","fort worth","2023-01-23","8","1.50","15.50","3","0.38","0.00","0.00","9.10","9.28","1.00","409.76","0.10","0.13","1.33","1.00","1995","3","625.33","0.13","0.38","1.33","2.33","Budget Travellers","Exclusive discounts"
"548307","F","45-54","true","true","usa","denver","2023-01-23","8","1.13","13.00","2","0.25","0.00","0.00","8.46","8.65","1.00","370.60","0.15","0.13","1.00","0.00","1984","2","385.00","","0.00","1.00","5.00","Moderate Travellers","Priority boarding"
"549141","F","25-34","true","true","usa","santa ana","2023-01-24","8","1.00","12.13","2","0.25","0.00","0.00","","11.76","0.00","","0.15","0.25","","","","2","5526.50","0.15","0.25","2.00","4.00","Family-Oriented Travelers","Free checked bag"
"549992","F","25-34","false","false","canada","halifax","2023-01-24","8","1.13","14.13","2","0.25","0.00","0.00","10.19","12.96","1.00","456.20","0.10","0.13","1.00","0.50","2496","1","0.00","0.10","0.13","1.00","0.00","Moderate Travellers","Priority boarding"
